elapsed_s,freq_mhz,busy_pct,bzy_mhz,tsc_mhz,temp_c,core_throttle_count,package_throttle_count,sampled_cpu_count
0.5,3304.0,64.84,5095.0,3686.0,92.0,0,0,1
1.0,5087.0,99.76,5099.0,3686.0,92.0,0,0,1
1.5,5088.0,99.76,5100.0,3686.0,92.0,0,0,1
2.0,5087.0,99.76,5100.0,3686.0,92.0,0,0,1
2.5,5088.0,99.76,5100.0,3686.0,92.0,0,0,1
3.0,5087.0,99.76,5100.0,3686.0,92.0,0,0,1
3.5,5088.0,99.76,5100.0,3686.0,93.0,0,0,1
4.0,5087.0,99.76,5100.0,3686.0,92.0,0,0,1
4.5,5088.0,99.76,5100.0,3686.0,91.0,0,0,1
5.0,5083.0,99.76,5096.0,3686.0,92.0,0,0,1
5.5,5088.0,99.76,5100.0,3686.0,93.0,0,0,1
6.0,5087.0,99.76,5100.0,3686.0,92.0,0,0,1
6.5,5088.0,99.76,5100.0,3686.0,92.0,0,0,1
7.0,5087.0,99.76,5099.0,3686.0,92.0,0,0,1
7.5,5088.0,99.76,5100.0,3686.0,92.0,0,0,1
8.0,5083.0,99.76,5096.0,3686.0,92.0,0,0,1
8.5,5080.0,99.76,5092.0,3686.0,93.0,0,0,1
9.0,5086.0,99.76,5098.0,3686.0,92.0,0,0,1
9.5,5087.0,99.76,5100.0,3686.0,92.0,0,0,1
10.0,5086.0,99.76,5098.0,3686.0,92.0,0,0,1
10.5,5080.0,99.76,5092.0,3686.0,92.0,0,0,1
11.0,5080.0,99.76,5092.0,3686.0,92.0,0,0,1
11.5,5082.0,99.76,5095.0,3686.0,93.0,0,0,1
12.0,5086.0,99.76,5099.0,3686.0,92.0,0,0,1
12.5,5087.0,99.76,5100.0,3686.0,92.0,0,0,1
13.0,5080.0,99.76,5092.0,3686.0,92.0,0,0,1
13.5,5085.0,99.76,5097.0,3686.0,92.0,0,0,1
14.0,5086.0,99.76,5099.0,3686.0,92.0,0,0,1
14.5,5087.0,99.76,5100.0,3686.0,92.0,0,0,1
15.0,5086.0,99.76,5099.0,3686.0,92.0,0,0,1
15.5,5086.0,99.76,5099.0,3686.0,92.0,0,0,1
16.0,5087.0,99.76,5100.0,3686.0,93.0,0,0,1
16.5,5046.0,98.99,5097.0,3686.0,82.0,0,0,1
